,Cotton,Polyester,Acril,Nylon,Rayon,Span,Linen,Polyurethane,Modal,Wool,Tencel,Acetate,FE
,,,,,,,,,,,,,
2,,0.19,,,,,,,0.81,,,,
3,,,0.8,0.2,,,,,,,,,
4,0.3,0.7,,,,,,,,,,,
5,0.66,0.34,,,,,,,,,,,
6,1,,,,,,,,,,,,
7,1,,,,,,,,,,,,
8,1,,,,,,,,,,,,
9,1,,,,,,,,,,,,
10,1,,,,,,,,,,,,
11,1,,,,,,,,,,,,
12,,,,1,,,,,,,,,
13,,1,,,,,,,,,,,
14,0.7,,,0.3,,,,,,,,,
15,0.72,,,0.25,,,,0.03,,,,,
16,0.72,,,,,0.06,,,0.22,,,,
17,,1,,,,,,,,,,,
18,0.5,0.2,,0.05,,,,,,0.25,,,
19,,0.35,0.3,,,,,,,0.35,,,
20,,1,,,,,,,,,,,
21,,1,,,,,,,,,,,
22,,1,,,,,,,,,,,
23,,1,,,,,,,,,,,
24,,1,,,,,,,,,,,
25,,,,0.93,,,,0.07,,,,,
26,0.5,0.5,,,,,,,,,,,
27,0.6,0.4,,,,,,,,,,,
28,1,,,,,,,,,,,,
29,,0.95,,,,0.05,,,,,,,
30,,0.73,,,0.22,0.02,,,,,0.03,,
31,,0.85,,,0.1,0.05,,,,,,,
32,,0.95,,,,0.05,,,,,,,
33,,0.95,,,,0.05,,,,,,,
34,,0.95,,,,0.05,,,,,,,
35,,,,,,,1,,,,,,
36,,,,,,,1,,,,,,
37,,,,,,,1,,,,,,
38,,0.77,,,,0.04,,,,,0.19,,
39,,0.32,,,,,,,,,0.34,0.34,
40,,0.3,,,,,,,,,0.7,,
41,,1,,,,,,,,,,,
42,,,,,,,,,,0.3,0.7,,
43,,0.75,,,0.25,,,,,,,,
44,,,,1,,,,,,,,,
45,,1,,,,,,,,,,,
46,,,,0.3,0.7,,,,,,,,
47,,0.16,,,,,,,0.84,,,,
48,0.7,0.3,,,,,,,,,,,
49,0.98,,,,,0.02,,,,,,,
50,,0.95,,,,0.05,,,,,,,
51,0.96,,,,,0.04,,,,,,,
52,,0.7,,,0.25,0.05,,,,,,,
53,,,,,,,,1,,,,,
54,0.56,0.38,,,,0.06,,,,,,,
55,,0.15,,,0.35,,,0.5,,,,,
56,,0.16,,,0.79,,,,,,,,0.05
57,0.54,0.4,,,,0.06,,,,,,,
58,,,,,,,,1,,,,,
59,,,,,,,,1,,,,,
60,,,,,0.5,,,0.5,,,,,
61,,0.97,,,,0.03,,,,,,,
62,,,,0.79,,0.21,,,,,,,
63,0.5,0.45,,,,0.05,,,,,,,
64,0.42,,,0.58,,,,,,,,,
65,,0.94,,,,0.06,,,,,,,
66,,,,0.79,,0.21,,,,,,,
67,,,,0.9,,0.1,,,,,,,
68,,,,,0.35,0.04,,,,,0.61,,
69,0.8,0.2,,,,,,,,,,,
70,0.5,,,,,,,,,,0.5,,
71,0.8,,,,0.2,,,,,,,,
72,,,,0.17,0.83,,,,,,,,
73,,0.95,,,,0.05,,,,,,,
74,,0.95,,,,0.05,,,,,,,
75,,,,1,,,,,,,,,
76,0.9,0.07,,,,0.03,,,,,,,
77,,,,1,,,,,,,,,
78,,0.96,,,,0.04,,,,,,,
79,,,,1,,,,,,,,,
80,,,,,0.22,0.03,,,,,0.75,,
81,,,,,0.33,0.04,,,,,0.63,,
,,,,,,,,,,,,,
83,,0.96,,,,0.04,,,,,,,
84,,0.9,,,0.1,,,,,,,,
85,1,,,,,,,,,,,,
86,0.9,0.1,,,,,,,,,,,
87,,0.8,,,0.18,0.02,,,,,,,
,,,,,,,,,,,,,
89,1,,,,,,,,,,,,
90,,0.77,,,0.18,0.05,,,,,,,